episode,reward,learning_rate,target_update_freq
0,-3844.0,0.0005,1
1,-2289.0,0.0005,1
2,-1538.0,0.0005,1
3,-1101.0,0.0005,1
4,-91.0,0.0005,1
5,-2471.0,0.0005,1
6,-61.0,0.0005,1
7,-4250.0,0.0005,1
8,-29.0,0.0005,1
9,-21332.0,0.0005,1
10,-237.0,0.0005,1
11,-118.0,0.0005,1
12,-4303.0,0.0005,1
13,-18047.0,0.0005,1
14,-181.0,0.0005,1
15,-1358.0,0.0005,1
16,-2045.0,0.0005,1
17,-28721.0,0.0005,1
18,-10.0,0.0005,1
19,-490.0,0.0005,1
20,-66184.0,0.0005,1
21,-55116.0,0.0005,1
22,-73964.0,0.0005,1
23,-39910.0,0.0005,1
24,-6.0,0.0005,1
25,-77828.0,0.0005,1
26,-87176.0,0.0005,1
27,-96304.0,0.0005,1
28,-27135.0,0.0005,1
29,-43963.0,0.0005,1
30,-16136.0,0.0005,1
31,-40735.0,0.0005,1
32,-10.0,0.0005,1
33,-105200.0,0.0005,1
34,-96096.0,0.0005,1
35,-41364.0,0.0005,1
36,-98344.0,0.0005,1
37,-30877.0,0.0005,1
38,-109600.0,0.0005,1
39,-1.0,0.0005,1
40,-39285.0,0.0005,1
41,-102572.0,0.0005,1
42,-104984.0,0.0005,1
43,0.0,0.0005,1
44,-514.0,0.0005,1
45,-100960.0,0.0005,1
46,-1.0,0.0005,1
47,-105280.0,0.0005,1
48,-107668.0,0.0005,1
49,-20024.0,0.0005,1
50,-109252.0,0.0005,1
51,-100696.0,0.0005,1
52,-110616.0,0.0005,1
53,-117084.0,0.0005,1
54,-49406.0,0.0005,1
55,-105320.0,0.0005,1
56,-2381.0,0.0005,1
57,-307.0,0.0005,1
58,-1829.0,0.0005,1
59,-103088.0,0.0005,1
60,-55379.0,0.0005,1
61,-1580.0,0.0005,1
62,-106500.0,0.0005,1
63,-108692.0,0.0005,1
64,-103732.0,0.0005,1
65,-34425.0,0.0005,1
66,-111044.0,0.0005,1
67,-21841.0,0.0005,1
68,-103208.0,0.0005,1
69,-1908.0,0.0005,1
70,-105260.0,0.0005,1
71,-105612.0,0.0005,1
72,-74872.0,0.0005,1
73,-1.0,0.0005,1
74,-21.0,0.0005,1
75,-96160.0,0.0005,1
76,-1.0,0.0005,1
77,-106772.0,0.0005,1
78,-1551.0,0.0005,1
79,-6.0,0.0005,1
80,-106320.0,0.0005,1
81,-103464.0,0.0005,1
82,-101552.0,0.0005,1
83,-102176.0,0.0005,1
84,-23992.0,0.0005,1
85,-15251.0,0.0005,1
86,-97880.0,0.0005,1
87,-3898.0,0.0005,1
88,-2256.0,0.0005,1
89,-108584.0,0.0005,1
90,-98012.0,0.0005,1
91,-104296.0,0.0005,1
92,-10433.0,0.0005,1
93,-66685.0,0.0005,1
94,-94448.0,0.0005,1
95,-103412.0,0.0005,1
96,-108948.0,0.0005,1
97,-104992.0,0.0005,1
98,0.0,0.0005,1
99,-104680.0,0.0005,1
100,-110448.0,0.0005,1
101,-4590.0,0.0005,1
102,-108140.0,0.0005,1
103,-116128.0,0.0005,1
104,-104096.0,0.0005,1
105,-108452.0,0.0005,1
106,-108404.0,0.0005,1
107,-111804.0,0.0005,1
108,-102160.0,0.0005,1
109,-1.0,0.0005,1
110,-106736.0,0.0005,1
111,-28.0,0.0005,1
112,-98304.0,0.0005,1
113,-23785.0,0.0005,1
114,-108928.0,0.0005,1
115,-104816.0,0.0005,1
116,-103572.0,0.0005,1
117,-15598.0,0.0005,1
118,-108244.0,0.0005,1
119,-109256.0,0.0005,1
120,-7685.0,0.0005,1
121,-9011.0,0.0005,1
122,-101204.0,0.0005,1
123,-2850.0,0.0005,1
124,-113416.0,0.0005,1
125,-99212.0,0.0005,1
126,-114204.0,0.0005,1
127,-104664.0,0.0005,1
128,-103804.0,0.0005,1
129,-107188.0,0.0005,1
130,-110216.0,0.0005,1
131,-220.0,0.0005,1
132,0.0,0.0005,1
133,-1.0,0.0005,1
134,-34181.0,0.0005,1
135,-13478.0,0.0005,1
136,-139.0,0.0005,1
137,-6.0,0.0005,1
138,-630.0,0.0005,1
139,-104868.0,0.0005,1
140,-2531.0,0.0005,1
141,-107500.0,0.0005,1
142,-26145.0,0.0005,1
143,-104792.0,0.0005,1
144,-108364.0,0.0005,1
145,-67754.0,0.0005,1
146,-104332.0,0.0005,1
147,-921.0,0.0005,1
148,-103464.0,0.0005,1
149,-1.0,0.0005,1
150,-96908.0,0.0005,1
151,-100876.0,0.0005,1
152,-66630.0,0.0005,1
153,-6357.0,0.0005,1
154,0.0,0.0005,1
155,-107552.0,0.0005,1
156,-104188.0,0.0005,1
157,-103052.0,0.0005,1
158,0.0,0.0005,1
159,-6.0,0.0005,1
160,0.0,0.0005,1
161,-1481.0,0.0005,1
162,-1.0,0.0005,1
163,-1.0,0.0005,1
164,-66127.0,0.0005,1
165,-6.0,0.0005,1
166,-106704.0,0.0005,1
167,-1544.0,0.0005,1
168,-76.0,0.0005,1
169,-183.0,0.0005,1
170,-75487.0,0.0005,1
171,-105796.0,0.0005,1
172,-5745.0,0.0005,1
173,0.0,0.0005,1
174,-1951.0,0.0005,1
175,-44.0,0.0005,1
176,-3.0,0.0005,1
177,-108600.0,0.0005,1
178,-46667.0,0.0005,1
179,-601.0,0.0005,1
180,-1.0,0.0005,1
181,-3.0,0.0005,1
182,-105308.0,0.0005,1
183,-24224.0,0.0005,1
184,-32272.0,0.0005,1
185,-109808.0,0.0005,1
186,-111940.0,0.0005,1
187,-1935.0,0.0005,1
188,-99384.0,0.0005,1
189,-3.0,0.0005,1
190,-105936.0,0.0005,1
191,-113540.0,0.0005,1
192,-32030.0,0.0005,1
193,-101076.0,0.0005,1
194,-120.0,0.0005,1
195,-35398.0,0.0005,1
196,-43961.0,0.0005,1
197,-108908.0,0.0005,1
198,-1830.0,0.0005,1
199,-105384.0,0.0005,1
200,-24834.0,0.0005,1
201,-105252.0,0.0005,1
202,-99540.0,0.0005,1
203,-101560.0,0.0005,1
204,-94144.0,0.0005,1
205,-52207.0,0.0005,1
206,-97192.0,0.0005,1
207,0.0,0.0005,1
208,-1189.0,0.0005,1
209,-15.0,0.0005,1
210,-5768.0,0.0005,1
211,-824.0,0.0005,1
212,-99896.0,0.0005,1
213,-116596.0,0.0005,1
214,0.0,0.0005,1
215,-95584.0,0.0005,1
216,-90868.0,0.0005,1
217,-84812.0,0.0005,1
218,-105856.0,0.0005,1
219,-102736.0,0.0005,1
220,-3623.0,0.0005,1
221,0.0,0.0005,1
222,-11522.0,0.0005,1
223,-1.0,0.0005,1
224,-13557.0,0.0005,1
225,-25900.0,0.0005,1
226,-95748.0,0.0005,1
227,-112844.0,0.0005,1
228,-71592.0,0.0005,1
229,-190.0,0.0005,1
230,0.0,0.0005,1
231,-2527.0,0.0005,1
232,-15.0,0.0005,1
233,-6.0,0.0005,1
234,-6.0,0.0005,1
235,-78.0,0.0005,1
236,-6.0,0.0005,1
237,-9941.0,0.0005,1
238,-3.0,0.0005,1
239,-630.0,0.0005,1
240,-53151.0,0.0005,1
241,-1.0,0.0005,1
242,-11205.0,0.0005,1
243,-29648.0,0.0005,1
244,-4789.0,0.0005,1
245,-6.0,0.0005,1
246,-1.0,0.0005,1
247,-91372.0,0.0005,1
248,-100840.0,0.0005,1
249,-1.0,0.0005,1
250,0.0,0.0005,1
251,-98000.0,0.0005,1
252,-94184.0,0.0005,1
253,-92036.0,0.0005,1
254,-36679.0,0.0005,1
255,-70.0,0.0005,1
256,-65186.0,0.0005,1
257,-1.0,0.0005,1
258,-21642.0,0.0005,1
259,-1326.0,0.0005,1
260,-109800.0,0.0005,1
261,0.0,0.0005,1
262,-84358.0,0.0005,1
263,-91528.0,0.0005,1
264,-474.0,0.0005,1
265,-3.0,0.0005,1
266,-2359.0,0.0005,1
267,-9916.0,0.0005,1
268,-16397.0,0.0005,1
269,0.0,0.0005,1
270,-1.0,0.0005,1
271,-5775.0,0.0005,1
272,-190.0,0.0005,1
273,-11589.0,0.0005,1
274,-12146.0,0.0005,1
275,-106.0,0.0005,1
276,-73264.0,0.0005,1
277,0.0,0.0005,1
278,-992.0,0.0005,1
279,-10.0,0.0005,1
280,-114048.0,0.0005,1
281,-1.0,0.0005,1
282,-1.0,0.0005,1
