episode,reward,learning_rate,target_update_freq
0,-3844.0,0.0001,1
1,-2289.0,0.0001,1
2,-1538.0,0.0001,1
3,-480.0,0.0001,1
4,-223.0,0.0001,1
5,-1.0,0.0001,1
6,-1666.0,0.0001,1
7,-836.0,0.0001,1
8,-677.0,0.0001,1
9,-1.0,0.0001,1
10,-278.0,0.0001,1
11,-2815.0,0.0001,1
12,-49.0,0.0001,1
13,-407.0,0.0001,1
14,-294.0,0.0001,1
15,-441.0,0.0001,1
16,-36.0,0.0001,1
17,-6050.0,0.0001,1
18,-1069.0,0.0001,1
19,-65692.0,0.0001,1
20,-1581.0,0.0001,1
21,-66112.0,0.0001,1
22,-78404.0,0.0001,1
23,-25295.0,0.0001,1
24,-6624.0,0.0001,1
25,-86872.0,0.0001,1
26,-85396.0,0.0001,1
27,-91052.0,0.0001,1
28,-81368.0,0.0001,1
29,-96144.0,0.0001,1
30,-87120.0,0.0001,1
31,-95568.0,0.0001,1
32,-92616.0,0.0001,1
33,-106708.0,0.0001,1
34,-112572.0,0.0001,1
35,-114872.0,0.0001,1
36,-114420.0,0.0001,1
37,-115752.0,0.0001,1
38,-116116.0,0.0001,1
39,-116128.0,0.0001,1
40,-114432.0,0.0001,1
41,-114520.0,0.0001,1
42,-114976.0,0.0001,1
43,-113492.0,0.0001,1
44,-115932.0,0.0001,1
45,-112468.0,0.0001,1
46,-115360.0,0.0001,1
47,-114844.0,0.0001,1
48,-115736.0,0.0001,1
49,-115468.0,0.0001,1
50,-116168.0,0.0001,1
51,-116272.0,0.0001,1
52,-116852.0,0.0001,1
53,-114448.0,0.0001,1
54,-118032.0,0.0001,1
55,-118244.0,0.0001,1
56,-115772.0,0.0001,1
57,-114696.0,0.0001,1
58,-3.0,0.0001,1
59,-111760.0,0.0001,1
60,-116292.0,0.0001,1
61,-89111.0,0.0001,1
62,-113736.0,0.0001,1
63,-112168.0,0.0001,1
64,-117296.0,0.0001,1
65,-115160.0,0.0001,1
66,-117432.0,0.0001,1
67,-114608.0,0.0001,1
68,-116368.0,0.0001,1
69,-116216.0,0.0001,1
70,-1.0,0.0001,1
71,-3.0,0.0001,1
72,-115368.0,0.0001,1
73,-116404.0,0.0001,1
74,-114220.0,0.0001,1
75,-115436.0,0.0001,1
76,-112736.0,0.0001,1
77,-115596.0,0.0001,1
78,-115812.0,0.0001,1
79,-118408.0,0.0001,1
80,0.0,0.0001,1
81,-112460.0,0.0001,1
82,-115152.0,0.0001,1
83,-119044.0,0.0001,1
84,-117356.0,0.0001,1
85,-113584.0,0.0001,1
86,-111532.0,0.0001,1
87,-1.0,0.0001,1
88,-1.0,0.0001,1
89,-115016.0,0.0001,1
90,-110244.0,0.0001,1
91,-110540.0,0.0001,1
92,-114456.0,0.0001,1
93,-114452.0,0.0001,1
94,-111168.0,0.0001,1
95,-114204.0,0.0001,1
96,-111156.0,0.0001,1
97,-108324.0,0.0001,1
98,-103292.0,0.0001,1
99,-118032.0,0.0001,1
100,-116000.0,0.0001,1
101,-112848.0,0.0001,1
102,-114540.0,0.0001,1
103,-114200.0,0.0001,1
104,-113852.0,0.0001,1
105,-111608.0,0.0001,1
106,-117716.0,0.0001,1
107,-113200.0,0.0001,1
108,-112088.0,0.0001,1
109,-111696.0,0.0001,1
110,-114876.0,0.0001,1
111,-110200.0,0.0001,1
112,-116848.0,0.0001,1
113,-115616.0,0.0001,1
114,-110560.0,0.0001,1
115,-115432.0,0.0001,1
116,-115800.0,0.0001,1
117,-116688.0,0.0001,1
118,-107292.0,0.0001,1
119,-118704.0,0.0001,1
120,-115264.0,0.0001,1
121,-110000.0,0.0001,1
122,-10090.0,0.0001,1
123,-75875.0,0.0001,1
124,-1582.0,0.0001,1
125,-109424.0,0.0001,1
126,-110596.0,0.0001,1
127,-109744.0,0.0001,1
128,-115836.0,0.0001,1
129,-114076.0,0.0001,1
130,-117840.0,0.0001,1
131,-117008.0,0.0001,1
132,-114352.0,0.0001,1
133,-1044.0,0.0001,1
134,-3.0,0.0001,1
135,-115456.0,0.0001,1
136,-115060.0,0.0001,1
137,-113328.0,0.0001,1
138,-106440.0,0.0001,1
139,-111216.0,0.0001,1
140,-113708.0,0.0001,1
141,-3.0,0.0001,1
142,-113960.0,0.0001,1
143,-186.0,0.0001,1
144,-112152.0,0.0001,1
145,-115720.0,0.0001,1
146,-114316.0,0.0001,1
147,-118384.0,0.0001,1
148,-115496.0,0.0001,1
149,-112396.0,0.0001,1
150,-113340.0,0.0001,1
151,-113752.0,0.0001,1
152,-111852.0,0.0001,1
153,-114472.0,0.0001,1
154,-116224.0,0.0001,1
155,-112176.0,0.0001,1
156,-107796.0,0.0001,1
157,-110100.0,0.0001,1
158,-118376.0,0.0001,1
159,-114864.0,0.0001,1
160,-116916.0,0.0001,1
161,-113900.0,0.0001,1
162,-1.0,0.0001,1
163,-1.0,0.0001,1
164,-103936.0,0.0001,1
