episode,reward,learning_rate,target_update_freq
0,-3540.0,0.001,20
1,-3.0,0.001,20
2,-1560.0,0.001,20
3,-117.0,0.001,20
4,-14.0,0.001,20
5,-498.0,0.001,20
6,-1171.0,0.001,20
7,-2371.0,0.001,20
8,-61.0,0.001,20
9,-4250.0,0.001,20
10,-29.0,0.001,20
11,-21332.0,0.001,20
12,-62048.0,0.001,20
13,-3284.0,0.001,20
14,-5554.0,0.001,20
15,-6874.0,0.001,20
16,-8363.0,0.001,20
17,-1350.0,0.001,20
18,-4260.0,0.001,20
19,-67288.0,0.001,20
20,-1997.0,0.001,20
21,-13008.0,0.001,20
22,-10847.0,0.001,20
23,-3.0,0.001,20
24,-12731.0,0.001,20
25,-6.0,0.001,20
26,-31636.0,0.001,20
27,-21303.0,0.001,20
28,-66.0,0.001,20
29,0.0,0.001,20
30,-38370.0,0.001,20
31,-25830.0,0.001,20
32,-48018.0,0.001,20
33,-76268.0,0.001,20
34,-3535.0,0.001,20
35,-178.0,0.001,20
36,-52709.0,0.001,20
37,-90672.0,0.001,20
38,-6.0,0.001,20
39,-93784.0,0.001,20
40,-15.0,0.001,20
41,-98548.0,0.001,20
42,-25622.0,0.001,20
43,0.0,0.001,20
44,-1.0,0.001,20
45,-6.0,0.001,20
46,-3839.0,0.001,20
47,-15275.0,0.001,20
48,-45.0,0.001,20
49,-23153.0,0.001,20
50,-120.0,0.001,20
51,-14171.0,0.001,20
52,-501.0,0.001,20
53,-1953.0,0.001,20
54,-378.0,0.001,20
55,-3.0,0.001,20
56,-3.0,0.001,20
57,-2195.0,0.001,20
58,-91.0,0.001,20
59,-5695.0,0.001,20
60,-630.0,0.001,20
61,-465.0,0.001,20
62,-42908.0,0.001,20
63,-406.0,0.001,20
64,-3.0,0.001,20
65,-3403.0,0.001,20
66,-15.0,0.001,20
67,-153.0,0.001,20
68,-5565.0,0.001,20
69,-78.0,0.001,20
70,-68160.0,0.001,20
71,-15.0,0.001,20
72,-11106.0,0.001,20
73,-1378.0,0.001,20
74,0.0,0.001,20
75,-1770.0,0.001,20
76,-561.0,0.001,20
77,-4524.0,0.001,20
78,0.0,0.001,20
79,-136.0,0.001,20
80,-1540.0,0.001,20
81,-78.0,0.001,20
82,-595.0,0.001,20
83,-91.0,0.001,20
84,-45.0,0.001,20
85,-13020.0,0.001,20
86,0.0,0.001,20
87,-903.0,0.001,20
88,-15.0,0.001,20
89,-733.0,0.001,20
90,-3.0,0.001,20
91,-45.0,0.001,20
92,-1953.0,0.001,20
93,-3.0,0.001,20
94,0.0,0.001,20
95,-136.0,0.001,20
96,-15.0,0.001,20
97,-3.0,0.001,20
98,-1.0,0.001,20
99,-1.0,0.001,20
100,-6.0,0.001,20
101,-15.0,0.001,20
102,-3.0,0.001,20
103,-6.0,0.001,20
104,-1.0,0.001,20
105,-3.0,0.001,20
106,-1.0,0.001,20
107,-21.0,0.001,20
108,-3.0,0.001,20
109,-6.0,0.001,20
110,0.0,0.001,20
111,-6.0,0.001,20
112,-1.0,0.001,20
113,-6.0,0.001,20
114,-6.0,0.001,20
115,-45.0,0.001,20
116,-3.0,0.001,20
117,-3.0,0.001,20
118,-3.0,0.001,20
119,0.0,0.001,20
120,-6.0,0.001,20
121,0.0,0.001,20
122,-1.0,0.001,20
123,-10.0,0.001,20
124,-3.0,0.001,20
125,-3.0,0.001,20
126,-3.0,0.001,20
127,-15.0,0.001,20
128,-28.0,0.001,20
129,-10.0,0.001,20
130,-1.0,0.001,20
131,0.0,0.001,20
132,-1.0,0.001,20
133,-6.0,0.001,20
134,-1.0,0.001,20
135,-3.0,0.001,20
136,-21.0,0.001,20
137,0.0,0.001,20
138,0.0,0.001,20
139,0.0,0.001,20
140,-1.0,0.001,20
141,0.0,0.001,20
142,-1.0,0.001,20
143,-3.0,0.001,20
144,-10.0,0.001,20
145,-6.0,0.001,20
146,-15.0,0.001,20
147,-1.0,0.001,20
148,-6.0,0.001,20
149,-3.0,0.001,20
150,-1.0,0.001,20
151,0.0,0.001,20
152,-6.0,0.001,20
153,-15.0,0.001,20
154,0.0,0.001,20
155,-6.0,0.001,20
156,-1.0,0.001,20
157,-1.0,0.001,20
158,-15.0,0.001,20
159,-6.0,0.001,20
160,-10.0,0.001,20
161,-1.0,0.001,20
162,-6.0,0.001,20
163,-1.0,0.001,20
164,-1.0,0.001,20
165,-1.0,0.001,20
166,-6.0,0.001,20
167,-1.0,0.001,20
168,-15.0,0.001,20
169,-6.0,0.001,20
170,-6.0,0.001,20
171,-3.0,0.001,20
172,-3.0,0.001,20
173,-3.0,0.001,20
174,-3.0,0.001,20
175,-10.0,0.001,20
176,-3.0,0.001,20
177,-1.0,0.001,20
178,0.0,0.001,20
179,-10.0,0.001,20
180,-10.0,0.001,20
181,-6.0,0.001,20
182,0.0,0.001,20
183,-3.0,0.001,20
184,-3.0,0.001,20
185,-3.0,0.001,20
186,-10.0,0.001,20
187,0.0,0.001,20
188,-3.0,0.001,20
189,-3.0,0.001,20
190,-10.0,0.001,20
191,-6.0,0.001,20
192,-1.0,0.001,20
193,-3.0,0.001,20
194,-6.0,0.001,20
195,-10.0,0.001,20
196,0.0,0.001,20
197,-6.0,0.001,20
198,-6.0,0.001,20
199,-6.0,0.001,20
200,-1.0,0.001,20
201,-25.0,0.001,20
202,-3.0,0.001,20
203,-10.0,0.001,20
204,-120.0,0.001,20
205,-6.0,0.001,20
206,-1.0,0.001,20
207,-25.0,0.001,20
208,-6.0,0.001,20
209,-10.0,0.001,20
210,-15.0,0.001,20
211,-10.0,0.001,20
212,-6.0,0.001,20
213,-3.0,0.001,20
214,-21.0,0.001,20
215,-6.0,0.001,20
216,-1.0,0.001,20
217,-6.0,0.001,20
218,-21.0,0.001,20
219,-1.0,0.001,20
220,-6.0,0.001,20
221,-6.0,0.001,20
222,-1.0,0.001,20
223,-3.0,0.001,20
224,-3.0,0.001,20
225,-6.0,0.001,20
226,-1.0,0.001,20
227,-1.0,0.001,20
228,-3.0,0.001,20
229,-45.0,0.001,20
230,-6.0,0.001,20
231,-6.0,0.001,20
232,-3.0,0.001,20
233,-1.0,0.001,20
234,-1.0,0.001,20
235,-6.0,0.001,20
236,-3.0,0.001,20
237,-15.0,0.001,20
238,-1.0,0.001,20
239,-3.0,0.001,20
240,-1.0,0.001,20
241,0.0,0.001,20
242,-3.0,0.001,20
243,0.0,0.001,20
244,-3.0,0.001,20
245,-1.0,0.001,20
246,-6.0,0.001,20
247,-6.0,0.001,20
248,-1.0,0.001,20
249,-10.0,0.001,20
250,-6.0,0.001,20
251,-3.0,0.001,20
252,-6.0,0.001,20
253,-1.0,0.001,20
254,-1.0,0.001,20
255,-21.0,0.001,20
256,-1.0,0.001,20
257,-3.0,0.001,20
258,-6.0,0.001,20
259,0.0,0.001,20
260,-1.0,0.001,20
261,-3.0,0.001,20
262,-28.0,0.001,20
263,-6.0,0.001,20
264,-6.0,0.001,20
265,-3.0,0.001,20
266,-66.0,0.001,20
267,-3.0,0.001,20
268,-10.0,0.001,20
269,-3.0,0.001,20
270,-6.0,0.001,20
271,-3.0,0.001,20
272,0.0,0.001,20
273,-10.0,0.001,20
274,-3.0,0.001,20
275,-1.0,0.001,20
276,-6.0,0.001,20
277,-10.0,0.001,20
278,-10.0,0.001,20
279,0.0,0.001,20
280,-6.0,0.001,20
281,-1.0,0.001,20
282,-10.0,0.001,20
283,-1.0,0.001,20
284,-3.0,0.001,20
285,-10.0,0.001,20
286,-15.0,0.001,20
287,0.0,0.001,20
288,-15.0,0.001,20
289,-3.0,0.001,20
290,-6.0,0.001,20
291,-1.0,0.001,20
292,-6.0,0.001,20
293,-3.0,0.001,20
294,-1.0,0.001,20
295,-3.0,0.001,20
296,-6.0,0.001,20
297,-15.0,0.001,20
298,-6.0,0.001,20
299,-3.0,0.001,20
300,0.0,0.001,20
301,-10.0,0.001,20
302,-1.0,0.001,20
303,-6.0,0.001,20
304,-6.0,0.001,20
305,-153.0,0.001,20
306,-3.0,0.001,20
307,-6.0,0.001,20
308,-6.0,0.001,20
309,-3.0,0.001,20
310,-10.0,0.001,20
311,-6.0,0.001,20
312,-3.0,0.001,20
313,0.0,0.001,20
314,-3.0,0.001,20
315,-3.0,0.001,20
316,-6.0,0.001,20
317,-21.0,0.001,20
318,-28.0,0.001,20
319,-6.0,0.001,20
320,0.0,0.001,20
321,-10.0,0.001,20
322,-3.0,0.001,20
323,-3.0,0.001,20
324,0.0,0.001,20
325,-6.0,0.001,20
326,-1.0,0.001,20
327,-10.0,0.001,20
328,-1.0,0.001,20
329,-10.0,0.001,20
330,-3.0,0.001,20
331,0.0,0.001,20
332,-3.0,0.001,20
333,-78.0,0.001,20
334,-10.0,0.001,20
335,-3.0,0.001,20
336,-171.0,0.001,20
337,-6.0,0.001,20
338,-3.0,0.001,20
339,-6.0,0.001,20
340,-6.0,0.001,20
341,-3.0,0.001,20
342,-3.0,0.001,20
343,-1.0,0.001,20
344,-1.0,0.001,20
345,-1.0,0.001,20
346,-10.0,0.001,20
347,-6.0,0.001,20
