episode,reward,learning_rate,target_update_freq
0,-3844.0,0.001,1
1,-2598.0,0.001,1
2,-1869.0,0.001,1
3,-200.0,0.001,1
4,-6078.0,0.001,1
5,-61.0,0.001,1
6,-63516.0,0.001,1
7,-36.0,0.001,1
8,-6600.0,0.001,1
9,-340.0,0.001,1
10,-10418.0,0.001,1
11,-57644.0,0.001,1
12,-6322.0,0.001,1
13,-21986.0,0.001,1
14,-79660.0,0.001,1
15,-6559.0,0.001,1
16,-74596.0,0.001,1
17,-3.0,0.001,1
18,-68080.0,0.001,1
19,-3590.0,0.001,1
20,-4982.0,0.001,1
21,-6.0,0.001,1
22,-11452.0,0.001,1
23,-10856.0,0.001,1
24,-27010.0,0.001,1
25,-77416.0,0.001,1
26,-9102.0,0.001,1
27,-37110.0,0.001,1
28,-5472.0,0.001,1
29,-6430.0,0.001,1
30,-2523.0,0.001,1
31,-11898.0,0.001,1
32,-10.0,0.001,1
33,0.0,0.001,1
34,-10.0,0.001,1
35,-4974.0,0.001,1
36,-4124.0,0.001,1
37,-84968.0,0.001,1
38,-3299.0,0.001,1
39,-325.0,0.001,1
40,-97908.0,0.001,1
41,-2761.0,0.001,1
42,-2214.0,0.001,1
43,-4785.0,0.001,1
44,-465.0,0.001,1
45,-26707.0,0.001,1
46,-45.0,0.001,1
47,-28.0,0.001,1
48,-3.0,0.001,1
49,-3490.0,0.001,1
50,-6.0,0.001,1
51,-171.0,0.001,1
52,-3.0,0.001,1
53,-111972.0,0.001,1
54,-1.0,0.001,1
55,-4849.0,0.001,1
56,-4465.0,0.001,1
57,-1653.0,0.001,1
58,-105.0,0.001,1
59,-496.0,0.001,1
60,-10.0,0.001,1
61,-1.0,0.001,1
62,-3.0,0.001,1
63,-6.0,0.001,1
64,-15.0,0.001,1
65,-6.0,0.001,1
66,-109644.0,0.001,1
67,-1540.0,0.001,1
68,-389.0,0.001,1
69,-6.0,0.001,1
70,-120.0,0.001,1
71,-15.0,0.001,1
72,-6.0,0.001,1
73,-10.0,0.001,1
74,-1.0,0.001,1
75,-10.0,0.001,1
76,-66.0,0.001,1
77,-25.0,0.001,1
78,-3.0,0.001,1
79,-6.0,0.001,1
80,-1.0,0.001,1
81,-94096.0,0.001,1
82,-6.0,0.001,1
83,-1.0,0.001,1
84,-465.0,0.001,1
85,-82900.0,0.001,1
86,-1.0,0.001,1
87,-21.0,0.001,1
88,-45.0,0.001,1
89,-3.0,0.001,1
90,-55024.0,0.001,1
91,-120.0,0.001,1
92,-3984.0,0.001,1
93,-47148.0,0.001,1
94,-18398.0,0.001,1
95,-39900.0,0.001,1
96,-16411.0,0.001,1
97,-12561.0,0.001,1
98,-325.0,0.001,1
99,-496.0,0.001,1
100,-45404.0,0.001,1
101,-66.0,0.001,1
102,-105.0,0.001,1
103,-351.0,0.001,1
104,-231.0,0.001,1
105,-28.0,0.001,1
106,-24858.0,0.001,1
107,-2690.0,0.001,1
108,-1.0,0.001,1
109,-4005.0,0.001,1
110,-78.0,0.001,1
111,0.0,0.001,1
112,-3.0,0.001,1
113,-28.0,0.001,1
114,-6.0,0.001,1
115,-517.0,0.001,1
116,-28.0,0.001,1
117,-66.0,0.001,1
118,-21.0,0.001,1
119,-36.0,0.001,1
120,-10.0,0.001,1
121,-8964.0,0.001,1
122,-78.0,0.001,1
123,-778.0,0.001,1
124,-45.0,0.001,1
125,-10.0,0.001,1
126,-1.0,0.001,1
127,-10.0,0.001,1
128,-1.0,0.001,1
129,-15.0,0.001,1
130,-28.0,0.001,1
131,-17408.0,0.001,1
132,-3.0,0.001,1
133,-300.0,0.001,1
134,0.0,0.001,1
135,-2926.0,0.001,1
136,-1.0,0.001,1
137,-197.0,0.001,1
138,-1275.0,0.001,1
139,-16929.0,0.001,1
140,0.0,0.001,1
141,-163.0,0.001,1
142,-2775.0,0.001,1
143,-2211.0,0.001,1
144,0.0,0.001,1
145,-6.0,0.001,1
