episode,reward,learning_rate,target_update_freq
0,-3844.0,0.0001,20
1,-2289.0,0.0001,20
2,-1538.0,0.0001,20
3,-480.0,0.0001,20
4,-223.0,0.0001,20
5,-1.0,0.0001,20
6,-1666.0,0.0001,20
7,-836.0,0.0001,20
8,-677.0,0.0001,20
9,-1.0,0.0001,20
10,-278.0,0.0001,20
11,-2815.0,0.0001,20
12,-49.0,0.0001,20
13,-407.0,0.0001,20
14,-294.0,0.0001,20
15,-441.0,0.0001,20
16,-36.0,0.0001,20
17,-3636.0,0.0001,20
18,-19959.0,0.0001,20
19,-1.0,0.0001,20
20,-3672.0,0.0001,20
21,-136.0,0.0001,20
22,-1244.0,0.0001,20
23,-2252.0,0.0001,20
24,-302.0,0.0001,20
25,0.0,0.0001,20
26,-8768.0,0.0001,20
27,-1374.0,0.0001,20
28,-5942.0,0.0001,20
29,-6.0,0.0001,20
30,-20588.0,0.0001,20
31,-66.0,0.0001,20
32,-41033.0,0.0001,20
33,-82788.0,0.0001,20
34,-85648.0,0.0001,20
35,-86476.0,0.0001,20
36,-87008.0,0.0001,20
37,-93880.0,0.0001,20
38,-99152.0,0.0001,20
39,-3.0,0.0001,20
40,-100752.0,0.0001,20
41,-100804.0,0.0001,20
42,-112296.0,0.0001,20
43,-108188.0,0.0001,20
44,-111416.0,0.0001,20
45,-114344.0,0.0001,20
46,-116216.0,0.0001,20
47,-111936.0,0.0001,20
48,-116424.0,0.0001,20
49,-110540.0,0.0001,20
50,-106484.0,0.0001,20
51,-114264.0,0.0001,20
52,-112244.0,0.0001,20
53,-114424.0,0.0001,20
54,-114520.0,0.0001,20
55,-118060.0,0.0001,20
56,-115124.0,0.0001,20
57,-115912.0,0.0001,20
58,-112096.0,0.0001,20
59,-116720.0,0.0001,20
60,-54608.0,0.0001,20
61,-112964.0,0.0001,20
62,-115328.0,0.0001,20
63,-113568.0,0.0001,20
64,-115300.0,0.0001,20
65,-114608.0,0.0001,20
66,-114396.0,0.0001,20
67,0.0,0.0001,20
68,-116080.0,0.0001,20
69,-116468.0,0.0001,20
70,-117404.0,0.0001,20
71,-112808.0,0.0001,20
72,-117624.0,0.0001,20
73,-115300.0,0.0001,20
74,-113908.0,0.0001,20
75,0.0,0.0001,20
76,-117208.0,0.0001,20
77,-118176.0,0.0001,20
78,-115420.0,0.0001,20
79,-114608.0,0.0001,20
80,-115864.0,0.0001,20
81,-116276.0,0.0001,20
82,-116292.0,0.0001,20
83,-116204.0,0.0001,20
84,-116952.0,0.0001,20
85,-116052.0,0.0001,20
86,-111772.0,0.0001,20
87,0.0,0.0001,20
88,-110976.0,0.0001,20
89,-114200.0,0.0001,20
90,-108692.0,0.0001,20
91,-27885.0,0.0001,20
92,-113288.0,0.0001,20
93,-117272.0,0.0001,20
94,-1.0,0.0001,20
95,-117856.0,0.0001,20
96,-100440.0,0.0001,20
97,-117092.0,0.0001,20
98,-1.0,0.0001,20
99,-115684.0,0.0001,20
100,-117112.0,0.0001,20
101,-115456.0,0.0001,20
102,-113188.0,0.0001,20
103,-114932.0,0.0001,20
104,-115700.0,0.0001,20
105,-109868.0,0.0001,20
106,-115520.0,0.0001,20
107,-116952.0,0.0001,20
108,-116748.0,0.0001,20
109,-112772.0,0.0001,20
110,-54285.0,0.0001,20
111,-25578.0,0.0001,20
112,-114060.0,0.0001,20
113,-108416.0,0.0001,20
114,-102180.0,0.0001,20
115,-115836.0,0.0001,20
116,-18803.0,0.0001,20
117,-102000.0,0.0001,20
118,-104148.0,0.0001,20
119,-110100.0,0.0001,20
120,-10.0,0.0001,20
121,-115260.0,0.0001,20
122,-111824.0,0.0001,20
123,-115988.0,0.0001,20
124,-111668.0,0.0001,20
125,-110552.0,0.0001,20
126,-104660.0,0.0001,20
127,-114280.0,0.0001,20
128,-112472.0,0.0001,20
129,-111708.0,0.0001,20
130,-114240.0,0.0001,20
131,-113056.0,0.0001,20
132,-11202.0,0.0001,20
133,-112844.0,0.0001,20
134,0.0,0.0001,20
135,-107960.0,0.0001,20
136,-116288.0,0.0001,20
137,0.0,0.0001,20
138,-108028.0,0.0001,20
139,-1502.0,0.0001,20
140,-115736.0,0.0001,20
141,-109264.0,0.0001,20
142,-117356.0,0.0001,20
143,-68426.0,0.0001,20
144,-111588.0,0.0001,20
145,-117880.0,0.0001,20
146,-111168.0,0.0001,20
147,-106784.0,0.0001,20
148,-109172.0,0.0001,20
149,-114444.0,0.0001,20
150,-115740.0,0.0001,20
151,-111968.0,0.0001,20
152,-117588.0,0.0001,20
153,-110512.0,0.0001,20
154,-117000.0,0.0001,20
155,-115700.0,0.0001,20
156,-114044.0,0.0001,20
157,-115900.0,0.0001,20
158,-117208.0,0.0001,20
159,-114152.0,0.0001,20
160,-106124.0,0.0001,20
161,-109592.0,0.0001,20
162,-111236.0,0.0001,20
163,-110764.0,0.0001,20
164,-116548.0,0.0001,20
165,-115372.0,0.0001,20
166,-110616.0,0.0001,20
167,-33654.0,0.0001,20
168,-110032.0,0.0001,20
169,-32004.0,0.0001,20
170,-103296.0,0.0001,20
171,0.0,0.0001,20
172,-116092.0,0.0001,20
173,-107288.0,0.0001,20
174,-114168.0,0.0001,20
175,-108124.0,0.0001,20
176,-116280.0,0.0001,20
177,-113632.0,0.0001,20
178,-111892.0,0.0001,20
179,-116952.0,0.0001,20
180,-113020.0,0.0001,20
181,-1.0,0.0001,20
182,-113428.0,0.0001,20
183,-114760.0,0.0001,20
184,-3.0,0.0001,20
185,-117416.0,0.0001,20
186,-18592.0,0.0001,20
187,-116748.0,0.0001,20
188,-113276.0,0.0001,20
189,-116848.0,0.0001,20
190,-112952.0,0.0001,20
191,-115140.0,0.0001,20
192,-115088.0,0.0001,20
193,-110664.0,0.0001,20
194,-114248.0,0.0001,20
195,-114520.0,0.0001,20
196,-112516.0,0.0001,20
197,-111880.0,0.0001,20
198,-111356.0,0.0001,20
199,-115428.0,0.0001,20
200,-114248.0,0.0001,20
201,-116008.0,0.0001,20
202,-118008.0,0.0001,20
203,-111620.0,0.0001,20
204,-3.0,0.0001,20
205,-9862.0,0.0001,20
206,-115204.0,0.0001,20
207,-112604.0,0.0001,20
208,-116504.0,0.0001,20
209,-115080.0,0.0001,20
210,-59854.0,0.0001,20
211,-112872.0,0.0001,20
212,-111680.0,0.0001,20
213,-115472.0,0.0001,20
214,-103684.0,0.0001,20
215,0.0,0.0001,20
216,-42087.0,0.0001,20
217,-112300.0,0.0001,20
