episode,reward,learning_rate,target_update_freq
0,-3540.0,0.01,20
1,-3.0,0.01,20
2,-1560.0,0.01,20
3,-390.0,0.01,20
4,-129.0,0.01,20
5,-1101.0,0.01,20
6,-164.0,0.01,20
7,-1.0,0.01,20
8,-316.0,0.01,20
9,-15.0,0.01,20
10,-1360.0,0.01,20
11,-379.0,0.01,20
12,-12450.0,0.01,20
13,-1.0,0.01,20
14,-2934.0,0.01,20
15,-36.0,0.01,20
16,-2304.0,0.01,20
17,-107.0,0.01,20
18,-55.0,0.01,20
19,-12884.0,0.01,20
20,-90.0,0.01,20
21,-15.0,0.01,20
22,-3942.0,0.01,20
23,-1713.0,0.01,20
24,-208.0,0.01,20
25,-111.0,0.01,20
26,-891.0,0.01,20
27,-1460.0,0.01,20
28,-36.0,0.01,20
29,-126.0,0.01,20
30,-753.0,0.01,20
31,-6.0,0.01,20
32,-28.0,0.01,20
33,-181.0,0.01,20
34,-449.0,0.01,20
35,-36.0,0.01,20
36,-15.0,0.01,20
37,-3.0,0.01,20
38,-44.0,0.01,20
39,-228.0,0.01,20
40,-279.0,0.01,20
41,-6.0,0.01,20
42,-136.0,0.01,20
43,-15.0,0.01,20
44,-120.0,0.01,20
45,-36.0,0.01,20
46,-3.0,0.01,20
47,-3.0,0.01,20
48,0.0,0.01,20
49,-21.0,0.01,20
50,-40.0,0.01,20
51,-184.0,0.01,20
52,-15.0,0.01,20
53,-131.0,0.01,20
54,-205.0,0.01,20
55,-6.0,0.01,20
56,-137.0,0.01,20
57,-10.0,0.01,20
58,-40.0,0.01,20
59,-1.0,0.01,20
60,0.0,0.01,20
61,-6.0,0.01,20
62,-25.0,0.01,20
63,-74.0,0.01,20
64,-1.0,0.01,20
65,-6.0,0.01,20
66,-15.0,0.01,20
67,-168.0,0.01,20
68,-15.0,0.01,20
69,-203.0,0.01,20
70,-28.0,0.01,20
71,-3.0,0.01,20
72,-227.0,0.01,20
73,-1.0,0.01,20
74,-15.0,0.01,20
75,-1.0,0.01,20
76,-6.0,0.01,20
77,-91.0,0.01,20
78,-267.0,0.01,20
79,-21.0,0.01,20
80,-10.0,0.01,20
81,0.0,0.01,20
82,-6.0,0.01,20
83,-148.0,0.01,20
84,-6.0,0.01,20
85,-94.0,0.01,20
86,-6.0,0.01,20
87,-1.0,0.01,20
88,-3.0,0.01,20
89,-66.0,0.01,20
90,-10.0,0.01,20
91,-6.0,0.01,20
92,-1.0,0.01,20
93,-10.0,0.01,20
94,-15.0,0.01,20
95,-15.0,0.01,20
96,-152.0,0.01,20
97,-1.0,0.01,20
98,-28.0,0.01,20
99,-878.0,0.01,20
100,-28.0,0.01,20
101,-3.0,0.01,20
102,-36.0,0.01,20
103,-3.0,0.01,20
