episode,reward,learning_rate,target_update_freq
0,-3844.0,0.01,1
1,-2289.0,0.01,1
2,-278.0,0.01,1
3,-715.0,0.01,1
4,-56.0,0.01,1
5,-122.0,0.01,1
6,-6.0,0.01,1
7,-188.0,0.01,1
8,-1.0,0.01,1
9,-19.0,0.01,1
10,-1366.0,0.01,1
11,-61.0,0.01,1
12,-4250.0,0.01,1
13,-16725.0,0.01,1
14,-148.0,0.01,1
15,-19.0,0.01,1
16,-1.0,0.01,1
17,-3.0,0.01,1
18,-789.0,0.01,1
19,-107.0,0.01,1
20,-55.0,0.01,1
21,-90.0,0.01,1
22,-242.0,0.01,1
23,-28.0,0.01,1
24,-25.0,0.01,1
25,-433.0,0.01,1
26,-247.0,0.01,1
27,0.0,0.01,1
28,-10.0,0.01,1
29,-505.0,0.01,1
30,-65.0,0.01,1
31,-741.0,0.01,1
32,-134.0,0.01,1
33,-1.0,0.01,1
34,-1847.0,0.01,1
35,-496.0,0.01,1
36,-303.0,0.01,1
37,-1060.0,0.01,1
38,-1523.0,0.01,1
39,-36.0,0.01,1
40,-126.0,0.01,1
41,-136.0,0.01,1
42,-243.0,0.01,1
43,-28.0,0.01,1
44,-181.0,0.01,1
45,-21.0,0.01,1
46,-6.0,0.01,1
47,-171.0,0.01,1
48,-274.0,0.01,1
49,-99.0,0.01,1
50,-44.0,0.01,1
51,-1.0,0.01,1
52,0.0,0.01,1
53,-127.0,0.01,1
54,-6.0,0.01,1
55,-136.0,0.01,1
56,-190.0,0.01,1
57,-105.0,0.01,1
58,-66.0,0.01,1
59,-595.0,0.01,1
60,-52.0,0.01,1
61,0.0,0.01,1
62,-6.0,0.01,1
63,-1.0,0.01,1
64,-394.0,0.01,1
65,-45.0,0.01,1
66,-72.0,0.01,1
67,-78.0,0.01,1
68,-28.0,0.01,1
69,-3.0,0.01,1
70,-3.0,0.01,1
71,-15.0,0.01,1
72,-66.0,0.01,1
73,-78.0,0.01,1
74,-10.0,0.01,1
75,-3.0,0.01,1
76,-285.0,0.01,1
77,-502.0,0.01,1
78,-1.0,0.01,1
79,-55.0,0.01,1
80,-59.0,0.01,1
81,0.0,0.01,1
82,-833.0,0.01,1
83,-10.0,0.01,1
84,0.0,0.01,1
85,-6.0,0.01,1
86,-196.0,0.01,1
87,-6.0,0.01,1
88,-105.0,0.01,1
89,-1.0,0.01,1
90,-3.0,0.01,1
91,-3.0,0.01,1
92,-120.0,0.01,1
93,-15.0,0.01,1
94,-3.0,0.01,1
95,-3.0,0.01,1
96,-21.0,0.01,1
97,-15.0,0.01,1
98,-152.0,0.01,1
99,-1.0,0.01,1
100,-28.0,0.01,1
101,-810.0,0.01,1
102,-36.0,0.01,1
103,-1.0,0.01,1
104,-66.0,0.01,1
105,-1.0,0.01,1
106,-10.0,0.01,1
107,-53.0,0.01,1
108,-10.0,0.01,1
109,-27.0,0.01,1
110,-37.0,0.01,1
111,-1.0,0.01,1
112,-78.0,0.01,1
113,-55.0,0.01,1
114,-15.0,0.01,1
115,-36.0,0.01,1
116,-10.0,0.01,1
117,-3.0,0.01,1
118,-3.0,0.01,1
119,-109.0,0.01,1
120,-1.0,0.01,1
121,-55.0,0.01,1
122,-136.0,0.01,1
123,-28.0,0.01,1
124,-1.0,0.01,1
125,-6.0,0.01,1
126,-66.0,0.01,1
127,-15.0,0.01,1
128,-6.0,0.01,1
129,-1.0,0.01,1
130,-3.0,0.01,1
131,-1.0,0.01,1
132,-1.0,0.01,1
133,-10.0,0.01,1
134,-3.0,0.01,1
135,-6.0,0.01,1
136,0.0,0.01,1
137,-28.0,0.01,1
138,-19.0,0.01,1
139,-3.0,0.01,1
140,-36.0,0.01,1
141,-3.0,0.01,1
142,-120.0,0.01,1
143,-3.0,0.01,1
144,-244.0,0.01,1
145,-1.0,0.01,1
146,-465.0,0.01,1
147,-45.0,0.01,1
148,-45.0,0.01,1
149,0.0,0.01,1
150,-115.0,0.01,1
151,-6.0,0.01,1
152,-6.0,0.01,1
153,-6.0,0.01,1
154,-351.0,0.01,1
155,-78.0,0.01,1
156,-1.0,0.01,1
157,0.0,0.01,1
158,-15.0,0.01,1
159,-1.0,0.01,1
160,-19.0,0.01,1
161,-28.0,0.01,1
162,0.0,0.01,1
163,-1.0,0.01,1
164,-3.0,0.01,1
165,-6.0,0.01,1
166,-1.0,0.01,1
167,-14.0,0.01,1
168,-15.0,0.01,1
169,-6.0,0.01,1
170,-220.0,0.01,1
171,-3.0,0.01,1
172,-10.0,0.01,1
173,-36.0,0.01,1
174,-21.0,0.01,1
175,-6.0,0.01,1
176,-28.0,0.01,1
177,-214.0,0.01,1
178,-90.0,0.01,1
179,-15.0,0.01,1
180,-21.0,0.01,1
181,0.0,0.01,1
182,-3.0,0.01,1
183,-15.0,0.01,1
184,0.0,0.01,1
185,-45.0,0.01,1
186,-1.0,0.01,1
187,-1.0,0.01,1
188,0.0,0.01,1
189,-28.0,0.01,1
190,-36.0,0.01,1
191,-66.0,0.01,1
192,-3.0,0.01,1
193,-36.0,0.01,1
194,-45.0,0.01,1
195,-15.0,0.01,1
196,-10.0,0.01,1
197,0.0,0.01,1
198,-45.0,0.01,1
199,-102.0,0.01,1
200,-6.0,0.01,1
201,-45.0,0.01,1
202,-10.0,0.01,1
203,-1.0,0.01,1
204,-3.0,0.01,1
205,-6.0,0.01,1
206,-1.0,0.01,1
207,-3.0,0.01,1
208,0.0,0.01,1
209,-78.0,0.01,1
210,0.0,0.01,1
211,-3.0,0.01,1
212,-3.0,0.01,1
213,-45.0,0.01,1
214,-1.0,0.01,1
215,-171.0,0.01,1
216,0.0,0.01,1
217,-10.0,0.01,1
218,-1.0,0.01,1
219,-78.0,0.01,1
220,-3.0,0.01,1
221,-6.0,0.01,1
222,-25.0,0.01,1
223,-1.0,0.01,1
224,-6.0,0.01,1
225,0.0,0.01,1
226,-6.0,0.01,1
227,-3.0,0.01,1
228,-3.0,0.01,1
229,0.0,0.01,1
230,0.0,0.01,1
231,-10.0,0.01,1
232,-25.0,0.01,1
233,-1.0,0.01,1
234,-6.0,0.01,1
235,-3.0,0.01,1
236,-66.0,0.01,1
237,-40.0,0.01,1
238,-1.0,0.01,1
239,-15.0,0.01,1
240,-3.0,0.01,1
241,-10.0,0.01,1
242,-1.0,0.01,1
243,-1.0,0.01,1
244,-156.0,0.01,1
245,-10.0,0.01,1
246,-66.0,0.01,1
247,-1.0,0.01,1
248,-21.0,0.01,1
249,-6.0,0.01,1
250,-33.0,0.01,1
251,-36.0,0.01,1
252,-45.0,0.01,1
253,-1.0,0.01,1
254,-1.0,0.01,1
255,-6.0,0.01,1
256,-1.0,0.01,1
257,-1.0,0.01,1
258,-10.0,0.01,1
259,-3.0,0.01,1
260,-36.0,0.01,1
261,-45.0,0.01,1
262,-6.0,0.01,1
263,-1.0,0.01,1
264,-28.0,0.01,1
265,-10.0,0.01,1
266,-10.0,0.01,1
267,-91.0,0.01,1
268,-10.0,0.01,1
269,-6.0,0.01,1
270,-21.0,0.01,1
271,-10.0,0.01,1
272,-21.0,0.01,1
273,-10.0,0.01,1
274,-1.0,0.01,1
275,-21.0,0.01,1
276,-21.0,0.01,1
277,-15.0,0.01,1
278,0.0,0.01,1
279,-15.0,0.01,1
280,-15.0,0.01,1
281,-3.0,0.01,1
282,-6.0,0.01,1
283,0.0,0.01,1
284,-120.0,0.01,1
285,-10.0,0.01,1
286,0.0,0.01,1
287,-40.0,0.01,1
288,-79.0,0.01,1
289,-10.0,0.01,1
290,-3.0,0.01,1
291,-36.0,0.01,1
292,-1.0,0.01,1
293,0.0,0.01,1
294,-28.0,0.01,1
295,-6.0,0.01,1
296,-3.0,0.01,1
297,-1.0,0.01,1
298,-6.0,0.01,1
299,-1.0,0.01,1
300,-15.0,0.01,1
301,-1.0,0.01,1
302,-3.0,0.01,1
303,-1.0,0.01,1
304,-6.0,0.01,1
305,-63.0,0.01,1
306,-3.0,0.01,1
307,-1.0,0.01,1
